15-10-23spec_0009_0030.txt

Exposure (ms)	5000
Row number	Wavelength (nm)	Energy (eV)	Amplitude (a.u.)
0.000	53.570	23.144	208.467
1.000	53.738	23.072	207.244
2.000	53.905	23.000	207.844
3.000	54.073	22.929	205.467
4.000	54.240	22.858	207.156
5.000	54.408	22.788	206.667
6.000	54.575	22.718	208.711
7.000	54.742	22.649	207.711
8.000	54.910	22.580	208.111
9.000	55.077	22.511	207.244
10.000	55.245	22.443	208.156
11.000	55.412	22.375	208.733
12.000	55.579	22.308	208.822
13.000	55.747	22.241	209.422
14.000	55.914	22.174	207.067
15.000	56.082	22.108	208.867
16.000	56.249	22.042	209.067
17.000	56.417	21.977	209.622
18.000	56.584	21.912	210.400
19.000	56.751	21.847	209.733
20.000	56.919	21.783	209.933
21.000	57.086	21.719	209.778
22.000	57.254	21.655	211.533
23.000	57.421	21.592	210.444
24.000	57.588	21.529	211.000
25.000	57.756	21.467	212.733
26.000	57.923	21.405	212.089
27.000	58.091	21.343	212.844
28.000	58.258	21.282	212.622
29.000	58.426	21.221	212.067
30.000	58.593	21.160	209.133
31.000	58.760	21.100	207.133
32.000	58.928	21.040	205.000
33.000	59.095	20.980	203.489
34.000	59.263	20.921	200.111
35.000	59.430	20.862	198.200
36.000	59.597	20.804	193.200
37.000	59.765	20.745	186.222
38.000	59.932	20.687	177.911
39.000	60.100	20.630	165.956
40.000	60.267	20.572	158.578
41.000	60.434	20.515	153.089
42.000	60.602	20.459	151.311
43.000	60.769	20.402	151.378
44.000	60.937	20.346	150.889
45.000	61.104	20.291	150.311
46.000	61.272	20.235	150.978
47.000	61.439	20.180	150.422
48.000	61.606	20.125	149.533
49.000	61.774	20.071	148.467
50.000	61.941	20.016	148.378
51.000	62.109	19.962	148.800
52.000	62.276	19.909	148.467
53.000	62.443	19.855	149.533
54.000	62.611	19.802	151.844
55.000	62.778	19.750	151.578
56.000	62.946	19.697	149.822
57.000	63.113	19.645	149.333
58.000	63.281	19.593	149.756
59.000	63.448	19.541	150.733
60.000	63.615	19.490	151.200
61.000	63.783	19.439	151.422
62.000	63.950	19.388	149.311
63.000	64.118	19.337	151.044
64.000	64.285	19.287	151.156
65.000	64.452	19.237	151.244
66.000	64.620	19.187	151.622
67.000	64.787	19.137	152.533
68.000	64.955	19.088	155.867
69.000	65.122	19.039	156.600
70.000	65.290	18.990	159.467
71.000	65.457	18.941	163.289
72.000	65.624	18.893	160.044
73.000	65.792	18.845	156.244
74.000	65.959	18.797	154.422
75.000	66.127	18.750	154.156
76.000	66.294	18.702	152.622
77.000	66.461	18.655	153.933
78.000	66.629	18.608	156.267
79.000	66.796	18.562	153.778
80.000	66.964	18.515	155.444
81.000	67.131	18.469	158.844
82.000	67.299	18.423	163.311
83.000	67.466	18.377	164.778
84.000	67.633	18.332	159.667
85.000	67.801	18.287	156.844
86.000	67.968	18.242	154.533
87.000	68.136	18.197	156.667
88.000	68.303	18.152	156.556
89.000	68.470	18.108	158.089
90.000	68.638	18.064	158.778
91.000	68.805	18.020	157.978
92.000	68.973	17.976	156.889
93.000	69.140	17.932	157.467
94.000	69.307	17.889	157.244
95.000	69.475	17.846	158.689
96.000	69.642	17.803	159.822
97.000	69.810	17.760	160.444
98.000	69.977	17.718	160.000
99.000	70.145	17.676	160.867
100.000	70.312	17.633	162.044
101.000	70.479	17.592	161.600
102.000	70.647	17.550	163.978
103.000	70.814	17.508	162.800
104.000	70.982	17.467	166.133
105.000	71.149	17.426	164.956
106.000	71.316	17.385	166.978
107.000	71.484	17.344	166.578
108.000	71.651	17.304	168.489
109.000	71.819	17.263	169.111
110.000	71.986	17.223	169.756
111.000	72.154	17.183	170.311
112.000	72.321	17.144	172.533
113.000	72.488	17.104	174.844
114.000	72.656	17.065	177.600
115.000	72.823	17.025	179.778
116.000	72.991	16.986	186.267
117.000	73.158	16.947	192.067
118.000	73.325	16.909	203.778
119.000	73.493	16.870	210.489
120.000	73.660	16.832	215.133
121.000	73.828	16.794	216.711
122.000	73.995	16.756	211.400
123.000	74.163	16.718	205.133
124.000	74.330	16.680	198.556
125.000	74.497	16.643	205.822
126.000	74.665	16.605	213.444
127.000	74.832	16.568	227.756
128.000	75.000	16.531	242.667
129.000	75.167	16.494	261.733
130.000	75.334	16.458	302.333
131.000	75.502	16.421	359.489
132.000	75.669	16.385	407.644
133.000	75.837	16.349	415.600
134.000	76.004	16.313	386.578
135.000	76.171	16.277	357.644
136.000	76.339	16.241	359.022
137.000	76.506	16.206	371.533
138.000	76.674	16.170	406.089
139.000	76.841	16.135	442.733
140.000	77.009	16.100	478.778
141.000	77.176	16.065	542.133
142.000	77.343	16.030	608.444
143.000	77.511	15.996	674.644
144.000	77.678	15.961	727.178
145.000	77.846	15.927	776.556
146.000	78.013	15.893	827.556
147.000	78.180	15.859	874.111
148.000	78.348	15.825	911.000
149.000	78.515	15.791	936.111
150.000	78.683	15.757	908.622
151.000	78.850	15.724	827.600
152.000	79.018	15.691	770.822
153.000	79.185	15.658	747.711
154.000	79.352	15.625	750.333
155.000	79.520	15.592	749.911
156.000	79.687	15.559	756.444
157.000	79.855	15.526	778.600
158.000	80.022	15.494	797.667
159.000	80.189	15.461	798.511
160.000	80.357	15.429	776.711
161.000	80.524	15.397	721.267
162.000	80.692	15.365	643.156
163.000	80.859	15.333	585.978
